Date,File Server,No of Folders,No of Files,No of Permission Entries,Size of all Files and Folders GB,No of Unique Permission Entries,No of Unique Folders,No of Protected Folders,No of Inherited Folders,No of Managed Folders,Size of Managed Folders GB,Anyone on the Internet Collaboration Links on Sensitive Resources,Anyone on the Internet Collaboration Links,Organization Collaboration Links,Organization Collaboration Links on Sensitive Resources,Specific users Collaboration Links,Specific users Collaboration Links on Sensitive Resources,Collaboration Links,Collaboration Links with External Exposure Level,Collaboration Links with External Exposure Level on Sensitive Resource,Collaboration Links with Guest Exposure Level,Collaboration Links with Guest Exposure Level on Sensitive Resource,Collaboration Links with Internal Exposure Level,Collaboration Links with Internal Exposure Level on Sensitive Resource,Files Shared Publicly Including Inherited,Files Shared Publicly Non Inherited,Files Shared With External Users Including Inherited,Files Shared with External Users Non Inherited,Files with Anyone Exposure Level,Files with External Exposure Level,Files with Guest Exposure Level,Files with Hits Shared Publicly Non Inherited for Selected Rule,Files with Hits Shared with External Users Non Inherited for Selected Rule,Files with Internal Exposure Level,Files with Organization-wide Exposure Level,Folders Shared Publicly Including Inherited,Folders Shared Publicly Non Inherited,Folders Shared with External Users Including Inherited,Folders Shared with External Users Non Inherited,Folders with Anyone Exposure Level,Folders with External Exposure Level,Folders with Guest Exposure Level,Folders with Hits Shared Publicly Non Inherited for Selected Rule,Folders with Hits Shared with External Users Non Inherited for Selected Rule,Folders with Internal Exposure Level,Folders with Organization-wide Exposure Level,Hit Count on Files Shared Publicly Non Inherited for Selected Rule,Hit Count on Files Shared with External Users Non Inherited for Selected Rule,No of Events,No of Events on Sensitive Files,No of Files with Hits Selected Rule,No of Files with Hits and Open Access Selected Rule,No of Files with Organization ACE,No of Folders that Contain Sensitive Files,No of Folders with Broken Permissions,No of Folders with Full Control Open Access Including Inherited,No of Folders with Full Control Open Access Non Inherited,No of Folders with Hits Selected Rule,No of Folders with Hits and Open Access Selected Rule,No of Folders with List Open Access Including Inherited,No of Folders with List Open Access Non Inherited,No of Folders with Modify Open Access Including Inherited,No of Folders with Modify Open Access Non Inherited,No of Folders with Open Access Including Inherited,No of Folders with Open Access Non Inherited,No of Folders with Organization ACE,No of Folders with Read & Exceute Open Access Including Inherited,No of Folders with Read & Exceute Open Access Non Inherited,No of Folders with Special Open Access Including Inherited,No of Folders with Special Open Access Non Inherited,No of Folders with Stale Data,No of Folders with Unresolved SIDs,No of Folders with User ACEs,No of Hit Count Selected Rule,No of Hit Count on Files with Open Access Selected Rule,No of Mailboxes,No of Mailboxes with Permissions for Users/Groups Other Than Owner,No of Microsoft Teams Sites,No of Private Channels,No of Public Folders,No of Sensitive Files,No of Sensitive Files with Open Access,No of Sensitive Files with Organization ACE,No of Sensitive Folders with Full Control Open Access,No of Sensitive Folders with List Open Access,No of Sensitive Folders with Modify Open Access,No of Sensitive Folders with Open Access,No of Sensitive Folders with Organization ACE,No of Sensitive Folders with Read & Execute Open Access,No of Sensitive Folders with Special Open Access,No of Sites,No of Stale Public Folders,No of Stale Sensitive Files,No of Unmanaged Protected folders,Sensitive Files Shared Publicly Non Inherited,Sensitive Files Shared with External Users Non Inherited,Sensitive Files with Anyone Exposure Level,Sensitive Files with External Exposure Level,Sensitive Files with Guest Exposure Level,Sensitive Files with Internal Exposure Level,Sensitive Files with Organization-wide Exposure Level,Sensitive Folders Shared Publicly Non Inherited,Sensitive Folders Shared with External Users Non Inherited,Sensitive Folders with Anyone Exposure Level,Sensitive Folders with External Exposure Level,Sensitive Folders with Guest Exposure Level,Sensitive Folders with Internal Exposure Level,Sensitive Folders with Organization-wide Exposure Level,Sensitive Sites with Anyone Exposure Level,Sensitive Sites with External Exposure Level,Sensitive Sites with Guest Exposure Level,Sensitive Sites with Internal Exposure Level,Sensitive Sites with Organization-wide Exposure Level,Sites with Anyone Exposure Level,Sites with External Exposure Level,Sites with Guest Exposure Level,Sites with Internal Exposure Level,Sites with Organization-wide Exposure Level,Size of Files with Hits and Open Access Selected Rule,Size of Files with Hits Shared Publicly Non Inherited for Selected Rule,Size of Files with Hits Shared with External Users Non Inherited for Selected Rule,Size of Folders with Stale Data GB,Size of Hits GB – Selected Rule,Size of Public Folders GB,Size of Stale Public Folders GB,Stale Files,Total Size of Sensitive Files GB
01.jan.2024,Exchange,40123,14053790,342704,2868,108297,9074,9074,31049,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,0,,,,0,,0,0,,,0,0,0,0,0,0,,0,0,0,0,13149,2034,,,,2051,2051,,,0,0,0,,0,0,0,0,,0,0,,0,0,9074,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,0,0,0,0
01.jan.2024,SRVB403,951533,8635629,2975571,17153,65221,43277,6235,908256,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,36358,0,0,,,8,4,3,1,12,6,,0,0,1,1,951533,6336,304,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,17153,,,,0,0
01.jan.2024,SRVB421,726940,10909298,3213553,20077,105797,11153,6073,715787,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,27,0,0,,,0,0,0,0,0,0,,0,0,0,0,726940,6244,4682,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,6073,,,,,,,,,,,,,,,,,,,,,,,,,,,,20077,,,,0,0
01.jan.2024,10.80.3.160,2711128,29825285,20969948,69137,658360,91334,2802,2619794,110566,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,10416,3290,54,,,3376,37,29,3,371129,11454,,163056,146,201378,11214,2677305,9027,36742,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,2713,,,,,,,,,,,,,,,,,,,,,,,,,,,,62603,,,,0,0
01.jan.2024,SRVM745,46625,235868,269798,83,139832,24256,22311,22369,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,50,0,0,,,0,0,0,0,2352,1,,2352,1,0,0,46625,1908,71,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,22311,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,0,0
01.jan.2024,SRVM916,49004,231261,269926,112,190995,32865,31328,16139,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,50,0,0,,,0,0,0,0,0,0,,0,0,0,0,46538,1473,72,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,31328,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,0,0
01.jan.2024,SRVM917,2774643,30116859,21342067,69102,853732,125373,34727,2649270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3220,0,,,,0,10476,0,0,,,0,0,0,0,0,0,,0,0,0,0,2629602,11086,36812,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,34727,,,,,,,,,,,,,,,,,,,,,,,,,,,,57896,,,,0,0
01.jan.2024,SRVM918,2763755,30082248,21252420,69246,853504,125464,34728,2638291,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,,,,0,10476,0,0,,,0,0,0,0,2,2,,0,0,2,2,2544615,11164,36834,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,34728,,,,,,,,,,,,,,,,,,,,,,,,,,,,50079,,,,0,0
01.jan.2024,srvm919,32,41,94,0,87,31,29,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,32,28,14,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0
01.jan.2024,SRVM840,69287,324102,396423,64,212668,39851,39116,29436,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,0,,,,0,23,0,0,,,0,0,0,0,1,1,,1,1,0,0,62386,257,502,,,,,,,,0,0,,0,0,0,0,,0,0,,,0,39116,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,0,0
