Date,Domain Name,No of Groups,No of Users,No of Computer Accounts,No of OUs,No of Admin Accounts with SPN,No of Enabled Accounts with Passwords That Do Not Expire,No of Domains with Members in the Schema Admins Group,No of Computer Accounts with a Risky Operating System,No of Computer Accounts with a Weak Kerberos Encryption Type,No of Accounts That Do Not Require Kerberos Pre-Authentication,No of Accounts That Do Not Require Authorization Data,No of Accounts Trusted for Delegation,No of Accounts Trusted for Kerberos Delegation,No of Accounts with a SID-History Entry from the Current Domain,No of Accounts with an Atypical Primary Group,No of Accounts with No Password Policy,No of Accounts with Passwords That Never Expire,No of Accounts with SID-History Mapping,No of Admin Accounts,No of Azure AD Cloud users,No of Azure Guest users,No of Computer Accounts That Are Also Admin Accounts,No of Disabled Users,No of Domains Where the Native Administrator Account Has Been Recently Accessed,No of Domains Where the Protected Users Group Does Not Exist,No of Domains with a Delinquent Kerberos Account Password,No of Domains without the LAPS Security Feature,No of Empty Groups,No of Enabled but Stale Users,No of Enabled Locked-out Users,No of Enabled Users with Expired Password,No of Executive Accounts,No of External Users,No of Global Access Groups,No of Groups Changes,No of Groups with External Affiliation,No of Groups with Guest Affiliation,No of Groups with Internal Affiliation,No of Groups with Organization-wide Affiliation,No of Groups with Recommendations,No of Guest Users,No of Identified Data Owners,No of Internal Users,No of looped groups,No of Non-Administrator Groups with Administrator Members,No of Service Accounts,No of Stale User Accounts,No of Users with Removal Recommendations,Enable Active Accounts,No of Disable Admin Accounts ,No of Disable Service Accounts ,No of Disable Computers Accounts ,No of Disable Executive Accounts 
01.sep.2024,antt.gov.br,3308,8830,4722,899,0,1052,0,45,1,0,0,0,1,0,22,19,1435,0,99,,,1,5387,1,0,1,1,510,987,0,221,13,,1,5,,,,,0,,7,,7,16,2490,5549,0,2456,,,,
01.sep.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4868,5072,,,,,,,,,,,,,,,,,,575,495,,,,,,,917,,,,,0,,,51,0,3738,0,,495,,4577,,,,,,5072,,,,
01.oct.2024,antt.gov.br,3308,8830,4722,899,0,1052,0,45,1,0,0,0,1,0,22,19,1435,0,99,,,1,5387,1,0,1,1,510,987,0,221,13,,1,5,,,,,0,,7,,7,16,2490,5549,0,2456,,,,
01.oct.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4868,5072,,,,,,,,,,,,,,,,,,575,495,,,,,,,917,,,,,0,,,51,0,3738,0,,495,,4577,,,,,,5072,,,,
01.aug.2024,antt.gov.br,3306,8777,4635,896,0,1052,0,50,1,0,0,0,1,0,21,19,1427,0,98,,,1,5347,0,0,1,1,507,997,0,201,13,,1,24,,,,,0,,7,,7,16,2482,5496,0,2433,,,,
01.aug.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4855,5054,,,,,,,,,,,,,,,,,,571,494,,,,,,,912,,,,,0,,,49,0,3736,0,,494,,4560,,,,,,5054,,,,
01.jul.2024,antt.gov.br,3305,8734,4537,892,0,1053,0,47,1,0,0,0,1,0,20,19,1422,0,94,,,1,5254,0,0,1,1,470,993,0,220,13,,1,5,,,,,978,,7,,7,13,2481,5449,1538,2487,,,,
01.jul.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4844,5083,,,,,,,,,,,,,,,,,,570,494,,,,,,,894,,,,,0,,,49,0,3736,0,,494,,4589,,,,,,5083,,,,
01.jun.2024,antt.gov.br,3298,8666,4429,892,0,1051,0,47,1,0,0,0,1,0,20,19,1414,0,95,,,1,5197,0,0,1,1,470,1007,0,191,13,,1,19,,,,,993,,7,,7,13,2532,5413,1525,2462,,,,
01.jun.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4821,5025,,,,,,,,,,,,,,,,,,561,485,,,,,,,888,,,,,0,,,46,0,3721,0,,485,,4540,,,,,,5025,,,,
01.may.2024,antt.gov.br,3292,8624,4420,891,0,1048,0,47,1,0,0,0,1,0,19,19,1407,0,93,,,1,5133,1,0,1,1,467,1016,0,215,13,,1,12,,,,,931,,7,,7,13,2502,5363,1493,2475,,,,
01.may.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4814,4992,,,,,,,,,,,,,,,,,,553,477,,,,,,,884,,,,,0,,,48,0,3717,0,,477,,4515,,,,,,4992,,,,
01.apr.2024,antt.gov.br,3288,8590,4410,888,0,1048,0,47,1,0,0,0,1,0,19,19,1404,0,93,,,1,5057,0,0,1,1,464,1024,0,249,13,,1,0,,,,,912,,7,,7,13,2488,5305,1471,2509,,,,
01.apr.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4799,5007,,,,,,,,,,,,,,,,,,548,473,,,,,,,875,,,,,0,,,48,0,3726,0,,473,,4534,,,,,,5007,,,,
01.mar.2024,antt.gov.br,3284,8548,4417,888,0,1048,0,47,1,0,0,0,1,0,19,19,1393,0,93,,,1,5003,0,0,1,1,463,995,0,155,13,,1,43,,,,,871,,7,,7,13,2483,5214,1465,2550,,,,
01.mar.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4778,4978,,,,,,,,,,,,,,,,,,544,472,,,,,,,875,,,,,0,,,48,0,3705,0,,472,,4506,,,,,,4978,,,,
01.feb.2024,antt.gov.br,3278,8512,4402,885,0,1048,1,47,1,0,0,0,1,0,20,19,1387,0,88,,,1,4955,0,0,1,1,454,1006,0,205,13,,1,79,,,,,909,,7,,7,14,2456,5176,1424,2551,,,,
01.feb.2024,ANTT- Agencia Nacional de Transportes Terrestres (Azure),4713,4950,,,,,,,,,,,,,,,,,,544,473,,,,,,,867,,,,,0,,,50,0,3647,0,,473,,4477,,,,,,4950,,,,
